Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,Scaled IMDb Rating
Twister,Hindi,6.4,1 h 53 min,1996.0,13+,State-of-the-art special effects stir up this tale of tornado chasers on a perilous quest to test a new sensor device.,0.617283950617284
Bal Ganesh 3 (Tamil),Tamil,5.2,1 h 8 min,2015.0,7+,"In the third instalment of this popular Indian animated film franchise, we see the elephant-headed Hindu lord Bal Ganesh being adored not just by humans but also by alien kids from a planet named Zeba.",0.4691358024691359
Goonda,Telugu,7.0,2 h 17 min,1984.0,NR,"Ravi (Chiranjeevi) is the son of a sincere Police officer (Satyanarayana). Ravi accidentally hurts his neighbour's eyes and become responsible for his blindness. Fearing that his father would scold him, he runs away from home and is brought up by a don in Calcutta, who names him Kalidas. The don dies in an encounter and Kali is asked to leave the world of crime and become a good citizen. Kal ...",0.6913580246913581
LOL,English,4.4,1 h 32 min,2012.0,16+,"Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown. Through hilarious and heartfelt moments between mother and daughter.",0.37037037037037046
Robin Hood,English,6.6,2 h 20 min,2010.0,13+,"The untold story of the man behind the legend. A thrilling action adventure with Academy Award® winner Russell Crowe and director Ridley Scott at ""their most entertaining since Gladiator.""",0.6419753086419753
Mardaani,Hindi,7.3,1 h 53 min,2014.0,18+,"India is the world's hub for child sex trafficking. Shivani Shivaji Roy, Senior Inspector, Crime Branch, Mumbai Police, sets out to confront the mastermind behind a child trafficking mafia, who makes the mistake of kidnapping and smuggling a teenage girl, Pyari. What follows is a cat and mouse game between a fearless cop and a young and ruthless mafia kingpin in a war which is very personal.",0.7283950617283951
Autograph,Bengali,7.4,2 h 12 min,2017.0,13+,"Film maker Shuvabrata wants to cast superstar Arun Chatterjee in his debut film. As the camera starts rolling, real meets reel.",0.7407407407407408
The Cabin Guard,Bengali,4.9,1 h 25 min,2019.0,13+,This Bengali film that describes the journey of a man - from anger to murders. Where will the bloody journey end?,0.4320987654320989
The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,1 h 15 min,2020.0,13+,"Far from the stereotype of uncivilized nomads, the Gypsies are a vibrant community whose way of life influenced high fashion and art and gave the world artists like Chaplin and Picasso. What is even lesser known is the shocking truth of the Gypsy Genocide in World War 2. Branded as anti-social, sent to Nazi camps and massacred in millions, survivors reveal the chilling details of the bloody event.",0.8395061728395062
HAK_MTL,English,6.1,1 h 7 min,2020.0,13+,"The Big Brother is indeed watching us all. With information from our phones, laptops even from street-side CCTVs being pulled in by government and corporates, the concept of right to privacy is long gone. Watch this film which shows a group of hackers who are building technology to protect our data and our rights.",0.5802469135802469
The Lego Movie,English,7.7,1 h 40 min,2014.0,All,"The LEGO movie follows Emmet, who is on an epic quest to stop an evil tyrant from gluing the universe together, a journey for which he is hopelessly and hilariously underprepared.",0.7777777777777779
Zoo Laka Taka,Telugu,6.0,1 h 36 min,1989.0,NR,"Zoo Laka Taka is a 1989 Indian Telugu film, directed by Vijaya Bapineedu and produced by Gutta Madhusudana Rao. The film stars Rajendra Prasad, Chandra Mohan, Tulasi and Kalpana in lead roles. Music of the film was composed by Vasu Rao.",0.5679012345679013
London Has Fallen,Hindi,5.9,1 h 34 min,2016.0,18+,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",0.5555555555555557
Summer in Bethlehem,Malayalam,7.8,2 h 34 min,1998.0,All,"Ravishankar pretends to own the farmhouse of his friend Dennis when his relative, Col. Menon, pays a visit along with his granddaughters. Dennis and Ravishankar try to find Ravishankar's secret admirer among the girls.",0.7901234567901235
Michael,Bengali,5.7,2 h 13 min,2018.0,13+,"Michael and Mayurbahan both want to make a mark on the silver screen, in their own ways. Will they realise their dreams?",0.5308641975308642
Quick,English,5.8,1 h 47 min,2011.0,16+,A famous biker named Gi-su (Lee Min-ki) has to deliver a bomb on his helmet under 30 minutes with his new girlfriend Ah-rom (Kang Ye-won) before it explodes.,0.54320987654321
Hey Ram,Hindi,7.9,3 h 19 min,2000.0,NR,"A period drama told in flashback, the semi-fictional plot centers around India's Partition and the assassination of Mahatma Gandhi.",0.8024691358024693
Karpagam,Tamil,7.4,2 h 49 min,1963.0,All,"Gemini Ganesan is a benevolent small time farmer and he marries K.R.Vijaya. Muthuraman and K.R.Vijaya are the children of S.V.Ranga Rao, a rich landlord. Muthuraman loves and marries Sheela, the daughter of greedy M.R.Radha. Estranged son Muthuraman, along with M.R.Radha conspire to swindle Ranga Rao's property. Whether the ploy succeeds and the kid joins her foster parent is the climax.",0.7407407407407408
